Category,SE-CAR megawatthours,SE-MIDW megawatthours,SE-FLA megawatthours,SE-TVA megawatthours
05/2/2019 01H EDT,299,176,774,-453
05/2/2019 00H EDT,88,320,1031,-406
05/1/2019 23H EDT,-464,374,1146,-536
05/1/2019 22H EDT,-313,106,1328,-485
05/1/2019 21H EDT,-54,135,1235,-344
05/1/2019 20H EDT,104,119,1364,-385
05/1/2019 19H EDT,125,247,1363,-210
05/1/2019 18H EDT,101,284,1540,-283
05/1/2019 17H EDT,222,281,1574,-391
05/1/2019 16H EDT,260,297,1504,-446
05/1/2019 15H EDT,369,302,1463,-505
05/1/2019 14H EDT,312,187,1446,-530
05/1/2019 13H EDT,354,147,1371,-467
05/1/2019 12H EDT,450,251,1415,-386
05/1/2019 11H EDT,630,215,1498,-218
05/1/2019 10H EDT,744,168,1354,-229
05/1/2019 09H EDT,700,42,1160,-105
05/1/2019 08H EDT,673,-70,1027,-269
05/1/2019 07H EDT,699,43,635,-256
05/1/2019 06H EDT,372,272,718,-266
05/1/2019 05H EDT,100,393,694,-101
05/1/2019 04H EDT,41,462,666,-112
05/1/2019 03H EDT,93,450,669,-170
05/1/2019 02H EDT,205,346,624,-341
05/1/2019 01H EDT,224,416,603,-343
05/1/2019 00H EDT,108,601,712,-406
04/30/2019 23H EDT,-32,644,1124,-439
04/30/2019 22H EDT,19,604,1419,-646
04/30/2019 21H EDT,-16,490,1237,-478
04/30/2019 20H EDT,-63,415,1726,-527
04/30/2019 19H EDT,-45,424,2061,-464
04/30/2019 18H EDT,100,568,2228,-478
04/30/2019 17H EDT,-132,630,2297,-657
04/30/2019 16H EDT,-108,565,2224,-725
04/30/2019 15H EDT,-137,516,2231,-749
04/30/2019 14H EDT,31,458,1816,-694
04/30/2019 13H EDT,213,422,1679,-534
04/30/2019 12H EDT,626,335,1191,-384
04/30/2019 11H EDT,935,107,973,-320
04/30/2019 10H EDT,1081,18,799,-274
04/30/2019 09H EDT,1081,-55,902,-214
04/30/2019 08H EDT,956,107,836,-266
04/30/2019 07H EDT,760,-9,686,-382
04/30/2019 06H EDT,487,78,659,-179
04/30/2019 05H EDT,677,-31,606,-107
04/30/2019 04H EDT,313,245,659,-46
04/30/2019 03H EDT,356,291,670,-90
04/30/2019 02H EDT,326,247,648,-237
04/30/2019 01H EDT,360,239,764,-499
04/30/2019 00H EDT,481,73,963,-492
04/29/2019 23H EDT,284,300,1395,-343
04/29/2019 22H EDT,-14,580,1782,-281
04/29/2019 21H EDT,-197,497,2043,-481
04/29/2019 20H EDT,-221,532,1900,-313
04/29/2019 19H EDT,-239,609,2038,-361
04/29/2019 18H EDT,-324,568,2381,-548
04/29/2019 17H EDT,-190,426,2333,-573
04/29/2019 16H EDT,-254,400,2283,-446
04/29/2019 15H EDT,-124,364,2139,-298
04/29/2019 14H EDT,18,241,1681,-202
04/29/2019 13H EDT,144,198,1323,-117
04/29/2019 12H EDT,533,80,1038,-169
04/29/2019 11H EDT,723,-122,819,38
04/29/2019 10H EDT,854,-307,806,4
04/29/2019 09H EDT,661,-327,806,166
04/29/2019 08H EDT,495,-231,681,185
04/29/2019 07H EDT,582,-376,542,-26
04/29/2019 06H EDT,860,-494,514,-260
04/29/2019 05H EDT,700,-485,437,-151
04/29/2019 04H EDT,675,-336,412,-57
04/29/2019 03H EDT,677,-295,357,-176
04/29/2019 02H EDT,508,-251,409,-142
04/29/2019 01H EDT,376,-245,495,-2
04/29/2019 00H EDT,45,-52,752,-153
04/28/2019 23H EDT,472,136,764,-157
04/28/2019 22H EDT,371,194,1176,-213
04/28/2019 21H EDT,626,121,1353,-343
04/28/2019 20H EDT,448,321,1532,-228
04/28/2019 19H EDT,439,288,1608,-231
04/28/2019 18H EDT,297,375,1922,-379
04/28/2019 17H EDT,384,445,1919,-404
04/28/2019 16H EDT,370,431,1554,-449
04/28/2019 15H EDT,696,247,1498,-458
04/28/2019 14H EDT,665,263,1405,-254
04/28/2019 13H EDT,940,16,1363,-311
04/28/2019 12H EDT,1093,-148,1099,-171
04/28/2019 11H EDT,1048,-165,798,-115
04/28/2019 10H EDT,978,-85,664,-167
04/28/2019 09H EDT,891,-148,606,-27
04/28/2019 08H EDT,961,-259,587,-20
04/28/2019 07H EDT,803,-173,516,177
04/28/2019 06H EDT,682,-175,504,117
04/28/2019 05H EDT,507,-129,508,38
04/28/2019 04H EDT,223,-157,554,28
04/28/2019 03H EDT,408,-220,538,-70
04/28/2019 02H EDT,454,-278,477,-76
04/28/2019 01H EDT,476,-528,600,-163
04/28/2019 00H EDT,616,-619,-46346,2
04/27/2019 23H EDT,669,-343,48005,258
04/27/2019 22H EDT,708,-240,1122,182
04/27/2019 21H EDT,666,-114,1252,276
04/27/2019 20H EDT,606,-16,-45601,326
04/27/2019 19H EDT,527,360,1311,221
04/27/2019 18H EDT,387,65,1704,34
04/27/2019 17H EDT,328,225,48272,-45
04/27/2019 16H EDT,445,260,1551,-189
04/27/2019 15H EDT,604,49,-45032,-186
04/27/2019 14H EDT,752,-75,47594,-120
04/27/2019 13H EDT,765,-133,-45056,-225
04/27/2019 12H EDT,872,-173,47209,-42
04/27/2019 11H EDT,912,-206,757,-35
04/27/2019 10H EDT,1056,-399,-45636,-117
04/27/2019 09H EDT,755,-384,577,-61
04/27/2019 08H EDT,856,-487,46781,11
04/27/2019 07H EDT,869,-467,607,-50
04/27/2019 06H EDT,775,-274,538,-265
04/27/2019 05H EDT,623,-238,-45690,-182
04/27/2019 04H EDT,472,-190,37737,-252
04/27/2019 03H EDT,207,-128,9526,-317
04/27/2019 02H EDT,400,-204,-45580,-271
04/27/2019 01H EDT,467,-229,46743,-384
04/27/2019 00H EDT,351,-133,833,-83
04/26/2019 23H EDT,889,34,-45098,12
04/26/2019 22H EDT,1027,-85,47143,125
04/26/2019 21H EDT,1028,0,-44452,-90
04/26/2019 20H EDT,864,33,1919,-261
04/26/2019 19H EDT,893,79,47541,-380
04/26/2019 18H EDT,919,152,1831,-407
04/26/2019 17H EDT,981,208,2027,-608
04/26/2019 16H EDT,987,245,1951,-527
04/26/2019 15H EDT,1073,244,1972,-480
04/26/2019 14H EDT,1167,266,1996,-635
04/26/2019 13H EDT,1191,241,1937,-672
04/26/2019 12H EDT,1370,283,1157,-290
04/26/2019 11H EDT,1331,226,958,-202
04/26/2019 10H EDT,1369,11,838,-181
04/26/2019 09H EDT,1390,56,780,-204
04/26/2019 08H EDT,1308,64,795,-131
04/26/2019 07H EDT,1197,-5,821,-324
04/26/2019 06H EDT,1095,-121,834,-231
04/26/2019 05H EDT,869,-40,806,-176
04/26/2019 04H EDT,769,89,767,46
04/26/2019 03H EDT,210,83,799,115
04/26/2019 02H EDT,344,-6,764,-97
04/26/2019 01H EDT,203,153,766,-94
04/26/2019 00H EDT,293,188,856,-176
